Reg #,NAME,BD,ProS,HB,GM,CED,BW,WW,YW,ADG,M,ME,HPG,CEM,ST,MA,YG,CW,RE
4598571,LOOSLI TRIAD 287,02-15-2022,138,82,56,16,-3.3,70,118,0.3,34,5,14,10,17,0.47,0.26,47,0.18
4597987,LOOSLI STOCKMARKET 292,02-17-2022,121,74,47,12,-2,81,131,0.31,27,11,11,7,19,0.72,0.16,27,0.25
4598545,LOOSLI PERSEVERANCE 2109,02-27-2022,92,66,25,16,-2.6,81,133,0.33,35,15,13,10,16,0.38,0.11,21,-0.13
4598163,LOOSLI SPARTACUS 257,02-06-2022,65,28,37,13,-1.5,75,115,0.25,28,8,10,7,11,0.39,0.12,42,0.34
4598099,LOOSLI ULTIMATUM 203,01-21-2022,98,73,25,12,0.2,72,126,0.34,27,11,14,7,18,0.27,0.22,30,-0.06
4598245,LOOSLI PORTFOLIO 285,02-13-2022,124,73,51,19,-6,66,108,0.26,30,9,11,11,18,0.7,0.12,25,0.12
4598553,LOOSLI ENERGIZE 200,01-05-2022,105,34,71,18,-5.9,61,108,0.29,30,5,12,11,10,0.67,0.13,34,0.35
4598091,LOOSLI MISSION 224,01-30-2022,102,83,19,15,-2.7,61,91,0.19,30,6,14,9,19,0.73,0.16,6,-0.13
4598615,LOOSLI TRIAD 233(243),02-01-2022,126,81,45,17,-3.9,71,115,0.28,32,4,13,11,17,0.47,0.18,32,0.01
4598095,LOOSLI PROFITEER 260,2/7/2022,73,44,29,11,-1,62,99,0.23,27,3,13,5,14,0.39,0.08,22,0.04
4598575,LOOSLI TRIAD 207,01-22-2022,112,66,46,17,-4.2,65,117,0.32,31,6,13,10,16,0.34,0.22,34,-0.06
4598629,LOOSLI STATUS 214,01-24-2022,129,90,39,18,-6.4,61,94,0.21,34,4,15,10,19,0.64,0.09,20,0.05
4598247,LOOSLI STOCKMARKET 206,01-22-2022,114,62,52,14,-3.5,73,117,0.28,27,6,10,8,17,0.73,0.16,25,0.07
4598279,LOOSLI STILLWATER 268,02-08-2022,120,68,52,19,-5.8,66,107,0.26,31,4,20,10,13,0.68,0.1,21,0.23
4598671,LOOSLI SPARTACUS 283,02-11-2022,60,38,21,15,-2.5,72,112,0.25,23,8,9,9,13,0.55,0.13,12,-0.12
4598011,LOOSLI ULTIMATUM 201,01-15-2022,130,82,48,12,-2.8,52,90,0.23,30,1,15,7,18,0.58,0.11,20,0.09
4597989,LOOSLI SUMMIT 202,01-20-2022,93,87,6,13,-4.6,53,80,0.16,30,4,15,7,20,0.46,0.09,7,0.11
4598295,LOOSLI ULTIMATUM 216,01-23-2022,108,85,23,10,-0.2,67,109,0.27,30,4,17,5,19,0.4,0.28,24,-0.18
4598343,LOOSLI STOCKMARKET 230,01-31-2022,108,65,43,9,0,76,126,0.31,38,10,16,4,17,0.38,0.2,39,0.13
4598439,LOOSLI SILVER 2179,03-31-2022,81,71,9,13,-2.3,79,131,0.32,37,11,14,8,17,0.19,0.19,29,-0.09
4598635,LOOSLI TRIAD 243,02-03-2022,110,57,54,16,-4.6,71,113,0.26,33,0,13,10,12,0.67,0.17,27,-0.11
4598555,LOOSLI EPIC 219,01-29-2022,108,67,41,12,-4.2,76,123,0.29,29,9,11,7,18,0.33,0.17,47,0.06
4598159,LOOSLI ULTIMATUM 263,02-08-2022,102,84,18,10,1,68,111,0.27,29,5,17,6,19,0.36,0.17,22,0
4598383,LOOSLI SPARTACUS 2103,02-24-2022,70,48,22,16,-5.9,66,98,0.2,32,3,12,9,13,0.63,0.24,17,-0.06
4598201,LOOSLI SPARTACUS 262,02-06-2022,94,75,19,20,-7.6,54,82,0.17,29,1,9,12,17,0.57,0.25,14,-0.2
4598211,LOOSLI SPARTACUS 280,02-10-2022,63,32,31,12,-1.4,70,112,0.26,31,3,10,7,11,0.43,0.18,28,0.01
4598381,LOOSLI STOCKMARKET 215,01-25-2022,130,72,58,19,-5.7,68,118,0.32,24,9,8,12,18,0.83,0.1,14,0.3
4598333,LOOSLI SPARTACUS 223,01-30-2022,80,56,24,14,-2.7,68,111,0.27,30,2,9,9,15,0.33,0.2,28,-0.13
4598337,LOOSLI STOCKMARKET 226,01-30-2022,116,71,45,17,-6,62,96,0.21,30,5,13,10,17,0.91,0.12,12,0.11
4598189,LOOSLI STOCKMARKET 225,01-30-2022,128,88,40,15,-3.2,63,101,0.23,30,4,9,10,21,0.58,0.15,25,0.06
4598031,LOOSLI MISSION 237,02-01-2022,105,77,27,10,-0.5,62,86,0.15,30,1,13,4,19,0.66,0.09,17,0.15
4598395,LOOSLI STOCKMARKET 286,02-14-2022,132,55,77,12,-2.1,94,157,0.39,28,9,12,6,15,0.9,0.15,34,0.28
4598167,LOOSLI SUMMIT 239,02-02-2022,114,93,20,8,-0.1,67,104,0.23,31,4,15,3,22,0.47,0.11,19,0.11
4598427,LOOSLI STOCKMARKET 2104,02-24-2022,119,55,64,13,-2.2,69,115,0.29,27,12,10,8,17,0.92,0.05,21,0.24
4598063,LOOSLI STOCKMARKET 2105,02-25-2022,153,102,51,14,-3.1,67,111,0.28,25,6,12,9,22,0.82,0.13,15,0.05
4598349,LOOSLI TRIAD 2114,03-02-2022,136,70,66,14,1.7,75,123,0.3,33,6,12,7,17,0.74,0.17,40,0.1
4598097,LOOSLI SILVER 227,01-31-2022,75,31,44,10,-0.1,71,113,0.27,32,8,14,6,11,0.55,0.29,35,-0.09
4598023,LOOSLI ULTIMATUM 256,02-05-2022,105,75,30,9,0.2,68,113,0.28,32,8,14,5,19,0.35,0.17,27,0
4598093,LOOSLI IMPETUS 2133,03-10-2022,71,68,4,18,-5.9,62,103,0.26,27,6,13,9,17,0.17,-0.01,9,0.05
4598365,LOOSLI ULTIMATUM 2130,03-09-2022,123,87,36,16,-3.1,62,104,0.26,30,2,14,9,18,0.57,0.26,20,-0.19
4598207,LOOSLI ULTIMATUM 2172,03-29-2022,117,82,35,11,-0.5,67,112,0.28,33,9,14,6,20,0.34,0.2,41,0.1
4597997,LOOSLI PROFITEER 2106,02-26-2022,106,70,36,9,0,65,111,0.28,30,11,17,6,17,0.57,0.15,22,-0.03
4598471,LOOSLI EPIC 247,02-04-2022,108,60,49,10,-1.6,81,129,0.3,31,9,13,6,16,0.55,0.17,42,-0.07
4598225,LOOSLI TRIAD 2125,03-06-2022,117,69,48,15,-3.7,71,113,0.26,27,6,13,10,16,0.77,0.18,26,-0.17
4598633,LOOSLI PROFITEER 208,01-22-2022,96,59,37,12,-2.5,75,121,0.29,29,4,14,5,15,0.41,0.09,31,0.19
4598183,LOOSLI SPARTACUS 272,02-09-2022,75,40,35,11,-2.3,69,112,0.27,30,5,9,6,14,0.42,0.12,32,0.11
4598647,LOOSLI MISSION 229,01-31-2022,110,52,58,13,-1.4,66,107,0.26,31,5,14,7,14,0.77,0.17,28,0.12
4598073,LOOSLI STATUS 251,02-05-2022,103,52,51,9,1.2,78,121,0.27,32,5,15,4,14,0.49,0,39,0.36
4598625,LOOSLI TRIAD 245,02-04-2022,100,73,27,12,-3,68,106,0.24,34,1,14,8,16,0.36,0.16,29,0.03
4598161,LOOSLI ULTIMATUM 2148,03-16-2022,116,87,30,12,-2.2,60,114,0.34,25,10,15,6,21,0.42,0.34,18,-0.42
4598423,LOOSLI STOCKMARKET 298,02-21-2022,135,53,81,11,-0.2,80,136,0.35,26,15,10,6,17,0.8,0.13,45,0.44
4598259,LOOSLI SPARTACUS 242,02-03-2022,74,50,25,12,-1.3,81,134,0.33,32,9,9,7,15,0.38,0.18,24,-0.05
4598485,LOOSLI MISSION 266,02-08-2022,108,56,52,14,-3.1,54,89,0.22,33,8,13,7,16,0.76,0.21,27,0.11
4598565,LOOSLI TRIAD 246,02-04-2022,108,78,30,19,-6.7,53,87,0.21,30,0,13,12,16,0.55,0.18,14,-0.2
4598165,LOOSLI STILLWATER 2118,03-05-2022,80,46,35,14,-2.4,76,116,0.26,27,4,10,8,13,0.58,0.16,26,0.04
4598417,LOOSLI TRIAD 297,02-20-2022,114,79,35,16,-3.7,67,109,0.26,31,1,13,9,17,0.5,0.21,23,-0.08
4598355,LOOSLI PORTFOLIO 2132,03-10-2022,116,53,63,10,0.4,84,134,0.32,28,9,14,6,14,0.75,0.16,32,0.07
4598085,LOOSLI BOULDER 276,02-10-2022,58,45,13,9,0.2,63,111,0.3,26,7,16,5,14,0.23,0.16,16,0.07
4598263,LOOSLI PERSEVERANCE 273,02-09-2022,91,54,38,12,-0.2,67,114,0.29,32,11,11,7,17,0.5,0.17,21,0.01
4598209,LOOSLI STOCKMARKET 278,02-10-2022,134,69,66,12,-1.4,74,127,0.33,28,6,11,7,18,0.89,0.18,21,0.11
4598155,LOOSLI BOULDER 210,01-24-2022,93,73,20,10,-0.9,73,126,0.33,27,8,11,6,19,0.08,0.03,31,0.44
4598627,LOOSLI STATUS 218,01-28-2022,113,73,40,16,-3.9,66,105,0.24,33,3,13,9,17,0.63,0.1,16,-0.06
